Fecha;codLinea;codAseguradora;primaAcumulada;primaMensual
2010-10-01 00:00:00.000;11;3;377.321;87.738
2010-10-01 00:00:00.000;10;1;90.369.574;76.509.053
2010-10-01 00:00:00.000;10;8;1.376.846;659.348
2010-10-01 00:00:00.000;13;1;3.396.931;144.241
2010-10-01 00:00:00.000;3;1;6.666.334;152.640.000.000.008
2010-10-01 00:00:00.000;17;1;60.003.955;4.964.253
2010-10-01 00:00:00.000;17;3;30.443;0.0101
2010-10-01 00:00:00.000;19;4;791.114;841.735
2010-10-01 00:00:00.000;19;7;175.391;128.886
2010-10-01 00:00:00.000;4;1;138.458.901;794.918.900.000.001
2010-10-01 00:00:00.000;4;4;4.857.957;493.452
2010-10-01 00:00:00.000;4;7;97.1;797.798
2010-10-01 00:00:00.000;2;1;780.795.307;653.531.300.000.001
2010-11-01 00:00:00.000;6;1;133.28;104.462
2010-11-01 00:00:00.000;5;1;6.528.023;814.391.999.999.999
2010-11-01 00:00:00.000;9;1;6.281.546;5.344.195
2010-11-01 00:00:00.000;16;1;10.544.943;1.361.162
2010-11-01 00:00:00.000;18;1;5.445.687;1.309.437
2010-11-01 00:00:00.000;19;1;296.555.165;24.482.427
2010-11-01 00:00:00.000;8;1;592.913.247;49.051.446
2010-11-01 00:00:00.000;8;3;5.595.921;3.770.083
2010-11-01 00:00:00.000;12;1;82.807.625;406.776.900.000.001
2010-11-01 00:00:00.000;12;3;26.258;17.611
2010-11-01 00:00:00.000;11;1;64.857.831;4.069.424
2010-11-01 00:00:00.000;11;3;386.677;0.935600000000001
2010-11-01 00:00:00.000;10;1;974.891.964;711.962.240.000.001
2010-11-01 00:00:00.000;10;8;272.912;1.352.274
2010-11-01 00:00:00.000;13;1;3.757.086;360.155
2010-11-01 00:00:00.000;3;1;7.595.864;92.953
2010-11-01 00:00:00.000;17;1;54.422.801;-5.581.154
2010-11-01 00:00:00.000;17;3;80.987;50.544
2010-11-01 00:00:00.000;19;4;8.741.041;829.901
2010-11-01 00:00:00.000;19;7;343.436;168.045
2010-11-01 00:00:00.000;4;1;150.713.252;12.254.351
2010-11-01 00:00:00.000;4;4;5.375.989;518.031.999.999.999
2010-11-01 00:00:00.000;4;7;1.836.919;865.919
2010-11-01 00:00:00.000;2;1;902.635.105;121.839.798
2010-12-01 00:00:00.000;2;1;1.163.355.336;260.720.231
2010-12-01 00:00:00.000;10;1;1.069.411.117;945.191.529.999.999
2010-12-01 00:00:00.000;10;8;383.299;110.387
2010-12-01 00:00:00.000;4;11;561.617;561.617
2010-12-01 00:00:00.000;4;1;169.808.109;19.094.857
2010-12-01 00:00:00.000;4;4;5.917.845;541.856
2010-12-01 00:00:00.000;3;1;7.970.256;374.392
2010-12-01 00:00:00.000;17;1;61.287.324;6.864.523
2010-12-01 00:00:00.000;13;1;4.328.474;571.388
2010-12-01 00:00:00.000;13;3;37.616;37.616
2010-12-01 00:00:00.000;11;3;787.392;400.715
2010-12-01 00:00:00.000;12;3;11.697.318;1.167.106
2010-12-01 00:00:00.000;8;3;9.892.186;4.296.265
2010-12-01 00:00:00.000;12;1;96.669.584;13.861.959
2010-12-01 00:00:00.000;17;3;576.028;495.041
2010-12-01 00:00:00.000;8;1;65804.19;65.128.653
2010-12-01 00:00:00.000;19;7;55.187;208.434
2010-12-01 00:00:00.000;16;1;11.712.948;1.168.005
2010-12-01 00:00:00.000;9;1;69.162.157;634.669.699.999.999
2010-12-01 00:00:00.000;6;1;1.439.914;107.114
2010-12-01 00:00:00.000;5;1;7.139.983;61.196
2010-12-01 00:00:00.000;11;1;81.723.497;16.865.666
2010-12-01 00:00:00.000;4;7;2.874.935;1.038.016
2010-12-01 00:00:00.000;19;11;217.609;217.609
2010-12-01 00:00:00.000;18;1;6.773.903;1.328.216
2010-12-01 00:00:00.000;18;3;147.115;147.115
2010-12-01 00:00:00.000;19;1;322.024.832;25.469.667
2010-12-01 00:00:00.000;19;4;9.558.453;817.411.999.999.999
2011-01-01 00:00:00.000;2;1;161.906.594;161.906.594
2011-01-01 00:00:00.000;10;1;8.389.038;8.389.038
2011-01-01 00:00:00.000;10;8;1.757.632;1.757.632
2011-01-01 00:00:00.000;4;11;22.308;22.308
2011-01-01 00:00:00.000;4;1;37.814.739;37.814.739
2011-01-01 00:00:00.000;4;4;501.618;501.618
2011-01-01 00:00:00.000;3;1;933.801;933.801
2011-01-01 00:00:00.000;17;1;3.653.849;3.653.849
2011-01-01 00:00:00.000;13;1;421.762;421.762
2011-01-01 00:00:00.000;13;3;-0.0206;-0.0206
2011-01-01 00:00:00.000;11;3;48.272;48.272
2011-01-01 00:00:00.000;12;3;11.263;11.263
2011-01-01 00:00:00.000;8;3;335.668;335.668
2011-01-01 00:00:00.000;12;1;16.160.018;16.160.018
2011-01-01 00:00:00.000;17;3;0.1008;0.1008
2011-01-01 00:00:00.000;8;1;45.894.179;45.894.179
2011-01-01 00:00:00.000;19;7;1.043.783;1.043.783
2011-01-01 00:00:00.000;16;1;2.321.193;2.321.193
2011-01-01 00:00:00.000;9;1;5.688.176;5.688.176
2011-01-01 00:00:00.000;6;1;215.414;215.414
2011-01-01 00:00:00.000;5;1;190.171;190.171
2011-01-01 00:00:00.000;11;1;6.192.167;6.192.167
2011-01-01 00:00:00.000;4;7;6.919.233;6.919.233
2011-01-01 00:00:00.000;19;11;20.792;20.792
2011-01-01 00:00:00.000;18;1;195.967;195.967
2011-01-01 00:00:00.000;18;3;-91.005;-91.005
2011-01-01 00:00:00.000;19;1;51.404.376;51.404.376
2011-01-01 00:00:00.000;19;4;73.752;73.752
2011-02-01 00:00:00.000;6;1;331.489;116.075
2011-02-01 00:00:00.000;5;1;2.134.485;232.775
2011-02-01 00:00:00.000;9;1;10.877.376;518.92
2011-02-01 00:00:00.000;16;1;2.663.366;342.173
2011-02-01 00:00:00.000;18;1;21.257;16.603
2011-02-01 00:00:00.000;18;3;-91.005;0
2011-02-01 00:00:00.000;11;3;591.318;543.046
2011-02-01 00:00:00.000;8;8;4.813.729;4.813.729
2011-02-01 00:00:00.000;8;3;1.366.545;1.030.877
2011-02-01 00:00:00.000;12;1;26.448.548;1.028.853
2011-02-01 00:00:00.000;12;3;3.274.348;3.263.085
2011-02-01 00:00:00.000;11;1;-1.163.235;-7.355.402
2011-02-01 00:00:00.000;11;8;1.034.492;1.034.492
2011-02-01 00:00:00.000;13;1;50.19;80.138
2011-02-01 00:00:00.000;13;3;-0.0206;0
2011-02-01 00:00:00.000;3;1;12.972.629;3.634.619
2011-02-01 00:00:00.000;17;1;8.735.368;5.081.519
2011-02-01 00:00:00.000;17;3;235.861;234.853
2011-02-01 00:00:00.000;8;1;83.083.991;37.189.812
2011-02-01 00:00:00.000;4;7;10.981.213;406.198
2011-02-01 00:00:00.000;4;11;847.269;624.189
2011-02-01 00:00:00.000;2;1;234.528.321;72.621.727
2011-02-01 00:00:00.000;10;1;159.480.785;75.590.405
2011-02-01 00:00:00.000;10;8;3.054.161;1.296.529
